Image 1 ID,Image 2 ID,Matches Weight
15,16,0.0013850415512465374
20,21,0.0014367816091954023
28,29,0.001443001443001443
16,17,0.0014534883720930232
14,15,0.00145985401459854
21,22,0.0015015015015015015
11,12,0.0015337423312883436
34,35,0.001557632398753894
27,28,0.0015723270440251573
63,64,0.001589825119236884
47,48,0.0015923566878980893
60,61,0.0016
22,23,0.0016051364365971107
23,24,0.0016207455429497568
35,36,0.0016286644951140066
33,34,0.0016339869281045752
17,18,0.0016366612111292963
29,30,0.001639344262295082
41,42,0.0016474464579901153
30,31,0.0016806722689075631
19,20,0.0016891891891891893
61,62,0.0017064846416382253
42,43,0.0017331022530329288
32,33,0.0017331022530329288
48,49,0.0017482517482517483
37,38,0.0017574692442882249
25,26,0.0017921146953405018
18,19,0.0017953321364452424
10,11,0.0018181818181818182
44,45,0.0018181818181818182
13,14,0.0018315018315018315
15,17,0.001838235294117647
45,46,0.001841620626151013
39,40,0.00186219739292365
9,10,0.001869158878504673
46,47,0.0018726591760299626
36,37,0.001876172607879925
62,63,0.0018867924528301887
31,32,0.0018975332068311196
49,50,0.0019011406844106464
38,39,0.0019047619047619048
26,27,0.0019157088122605363
40,41,0.0019230769230769232
51,52,0.001937984496124031
40,42,0.0019569471624266144
3,4,0.00196078431372549
59,60,0.001976284584980237
1,2,0.001984126984126984
34,36,0.0019880715705765406
14,16,0.0019880715705765406
28,30,0.0019880715705765406
4,5,0.002
6,7,0.0020161290322580645
27,29,0.0020325203252032522
44,46,0.002036659877800407
43,44,0.0020491803278688526
50,51,0.002066115702479339
58,59,0.002066115702479339
41,43,0.002070393374741201
2,3,0.002070393374741201
43,45,0.002074688796680498
36,64,0.0020833333333333333
29,31,0.0020833333333333333
35,63,0.0020920502092050207
7,8,0.0020964360587002098
20,22,0.002109704641350211
36,63,0.0021141649048625794
55,56,0.0021231422505307855
47,49,0.0021231422505307855
52,53,0.0021413276231263384
34,63,0.0021551724137931034
61,63,0.0021598272138228943
56,57,0.0021691973969631237
60,62,0.002183406113537118
35,64,0.0021929824561403508
32,34,0.0022026431718061676
62,64,0.0022026431718061676
22,24,0.0022026431718061676
39,41,0.0022123893805309734
33,35,0.0022172949002217295
37,64,0.0022172949002217295
33,61,0.0022172949002217295
10,12,0.0022222222222222222
5,6,0.0022271714922048997
42,44,0.002232142857142857
31,33,0.0022371364653243847
53,54,0.0022471910112359553
24,25,0.0022471910112359553
42,45,0.0022471910112359553
1,64,0.0022522522522522522
19,21,0.002257336343115124
2,39,0.002288329519450801
35,37,0.002288329519450801
35,62,0.002288329519450801
26,28,0.002304147465437788
8,9,0.0023094688221709007
43,46,0.0023148148148148147
2,38,0.0023148148148148147
16,18,0.0023148148148148147
34,62,0.0023148148148148147
12,13,0.002331002331002331
45,47,0.002347417840375587
13,15,0.002352941176470588
34,61,0.002364066193853428
32,61,0.002369668246445498
46,48,0.0023752969121140144
39,42,0.002398081534772182
2,4,0.002398081534772182
33,62,0.0024096385542168677
1,37,0.0024154589371980675
57,58,0.002421307506053269
30,32,0.002421307506053269
36,62,0.0024271844660194173
38,40,0.0024390243902439024
34,64,0.0024390243902439024
37,63,0.0024390243902439024
4,42,0.0024449877750611247
33,60,0.0024509803921568627
36,38,0.002457002457002457
21,23,0.0024630541871921183
25,27,0.0024630541871921183
35,61,0.0024691358024691358
38,64,0.0024691358024691358
3,40,0.0024752475247524753
40,43,0.0024813895781637717
32,60,0.0024875621890547263
37,39,0.0024937655860349127
14,17,0.002506265664160401
1,38,0.002506265664160401
4,41,0.002506265664160401
23,25,0.002512562814070352
54,55,0.002512562814070352
3,39,0.0025188916876574307
61,64,0.0025252525252525255
31,60,0.0025252525252525255
4,40,0.002531645569620253
48,50,0.002531645569620253
1,63,0.0025380710659898475
4,43,0.0025575447570332483
33,63,0.002570694087403599
59,61,0.002570694087403599
42,46,0.002570694087403599
2,40,0.002577319587628866
33,36,0.002583979328165375
2,64,0.0025906735751295338
44,47,0.0025974025974025974
30,60,0.002617801047120419
41,44,0.0026246719160104987
4,6,0.0026246719160104987
36,61,0.002631578947368421
17,19,0.002638522427440633
2,37,0.0026455026455026454
28,31,0.002652519893899204
24,26,0.002652519893899204
29,59,0.002652519893899204
31,61,0.002652519893899204
60,63,0.0026595744680851063
50,52,0.0026666666666666666
6,46,0.0026666666666666666
34,37,0.002680965147453083
29,58,0.002702702702702703
58,60,0.002702702702702703
34,60,0.0027100271002710027
5,44,0.00273224043715847
5,42,0.0027397260273972603
30,59,0.0027397260273972603
15,18,0.0027397260273972603
32,62,0.0027397260273972603
35,38,0.0027472527472527475
18,20,0.0027472527472527475
4,39,0.0027624309392265192
28,58,0.0027624309392265192
3,42,0.0027624309392265192
41,45,0.0027624309392265192
3,41,0.002777777777777778
3,5,0.002777777777777778
31,59,0.002785515320334262
38,41,0.002793296089385475
5,43,0.0028011204481792717
38,63,0.0028011204481792717
32,35,0.0028011204481792717
1,36,0.0028089887640449437
7,9,0.0028169014084507044
60,64,0.0028169014084507044
1,39,0.0028169014084507044
8,10,0.002824858757062147
38,42,0.0028328611898017
30,33,0.002849002849002849
4,45,0.002849002849002849
3,38,0.002857142857142857
4,44,0.002857142857142857
5,7,0.0028735632183908046
35,60,0.002890173410404624
27,30,0.002890173410404624
7,47,0.002890173410404624
28,59,0.002898550724637681
6,45,0.002898550724637681
3,43,0.002898550724637681
30,58,0.002898550724637681
43,47,0.002898550724637681
1,35,0.0029069767441860465
6,8,0.0029069767441860465
25,28,0.0029154518950437317
56,58,0.0029154518950437317
41,46,0.0029154518950437317
37,40,0.0029239766081871343
40,44,0.0029239766081871343
39,43,0.0029239766081871343
